cidade,cidade_id,safra,variavel_alvo,cultivo,cenario,valor,modelo
Agudo,0,2025,rendimento_medio,arroz,ssp126,7674.30712890625,30 anos
Agudo,0,2026,rendimento_medio,arroz,ssp126,8505.8330078125,30 anos
Agudo,0,2027,rendimento_medio,arroz,ssp126,8320.8583984375,30 anos
Agudo,0,2028,rendimento_medio,arroz,ssp126,8932.833984375,30 anos
Agudo,0,2029,rendimento_medio,arroz,ssp126,8665.15625,30 anos
Agudo,0,2030,rendimento_medio,arroz,ssp126,9020.0244140625,30 anos
Agudo,0,2031,rendimento_medio,arroz,ssp126,9080.6982421875,30 anos
Agudo,0,2032,rendimento_medio,arroz,ssp126,9414.720703125,30 anos
Agudo,0,2033,rendimento_medio,arroz,ssp126,9040.013671875,30 anos
Agudo,0,2034,rendimento_medio,arroz,ssp126,9073.17578125,30 anos
Cacapava do Sul,1,2025,rendimento_medio,arroz,ssp126,0.0,30 anos
Cacapava do Sul,1,2026,rendimento_medio,arroz,ssp126,0.0,30 anos
Cacapava do Sul,1,2027,rendimento_medio,arroz,ssp126,0.0,30 anos
Cacapava do Sul,1,2028,rendimento_medio,arroz,ssp126,0.0,30 anos
Cacapava do Sul,1,2029,rendimento_medio,arroz,ssp126,0.0,30 anos
Cacapava do Sul,1,2030,rendimento_medio,arroz,ssp126,0.0,30 anos
Cacapava do Sul,1,2031,rendimento_medio,arroz,ssp126,0.0,30 anos
Cacapava do Sul,1,2032,rendimento_medio,arroz,ssp126,0.0,30 anos
Cacapava do Sul,1,2033,rendimento_medio,arroz,ssp126,0.0,30 anos
Cacapava do Sul,1,2034,rendimento_medio,arroz,ssp126,0.0,30 anos
Cacequi,2,2025,rendimento_medio,arroz,ssp126,5992.32958984375,30 anos
Cacequi,2,2026,rendimento_medio,arroz,ssp126,6282.5859375,30 anos
Cacequi,2,2027,rendimento_medio,arroz,ssp126,6327.177734375,30 anos
Cacequi,2,2028,rendimento_medio,arroz,ssp126,6645.404296875,30 anos
Cacequi,2,2029,rendimento_medio,arroz,ssp126,6663.83642578125,30 anos
Cacequi,2,2030,rendimento_medio,arroz,ssp126,6941.2802734375,30 anos
Cacequi,2,2031,rendimento_medio,arroz,ssp126,6897.470703125,30 anos
Cacequi,2,2032,rendimento_medio,arroz,ssp126,7164.95849609375,30 anos
Cacequi,2,2033,rendimento_medio,arroz,ssp126,6919.294921875,30 anos
