cidade,media_quantidade_produzida_arroz
Agudo,58316.833333333336
Cacapava do Sul,0.0
Cacequi,84925.5
Cachoeira do Sul,200007.93333333332
Capao do Cipo,0.0
Cerro Branco,6450.666666666667
Dilermando de Aguiar,15943.1
Dona Francisca,17868.966666666667
Faxinal do Soturno,12162.5
Formigueiro,50881.1
Itaara,0.23333333333333334
Itacurubi,10480.666666666666
Ivora,0.0
Jaguari,14730.466666666667
Jari,24.933333333333334
Julio de Castilhos,0.0
Lavras do Sul,17679.666666666668
Mata,9312.166666666666
Nova Esperanca do Sul,0.0
Nova Palma,1026.9333333333334
Novo Cabrais,10392.1
Paraiso do Sul,0.0
Pinhal Grande,251.86666666666667
Quevedos,26.333333333333332
Restinga Seca,0.0
Santa Margarida do Sul,29010.733333333334
Santa Maria,48836.96666666667
Santana da Boa Vista,2622.233333333333
Santiago,425.23333333333335
Sao Francisco de Assis,0.0
Sao Gabriel,0.0
Sao Joao do Polesine,0.0
Sao Martinho da Serra,0.0
Sao Pedro do Sul,0.0
Sao Sepe,0.0
Sao Vicente do Sul,0.0
Silveira Martins,6.1
Toropi,1598.2
Unistalda,249.46666666666667
Vila Nova do Sul,2204.766666666667
