cidade,media_rendimento_medio_arroz
Agudo,7051.766666666666
Cacapava do Sul,0.0
Cacequi,5736.433333333333
Cachoeira do Sul,6363.733333333334
Capao do Cipo,0.0
Cerro Branco,6485.7
Dilermando de Aguiar,5737.033333333334
Dona Francisca,7778.0
Faxinal do Soturno,6559.666666666667
Formigueiro,5986.533333333334
Itaara,58.333333333333336
Itacurubi,6353.2
Ivora,0.0
Jaguari,6664.866666666667
Jari,535.8333333333334
Julio de Castilhos,0.0
Lavras do Sul,6139.9
Mata,6160.566666666667
Nova Esperanca do Sul,0.0
Nova Palma,6662.266666666666
Novo Cabrais,5780.166666666667
Paraiso do Sul,0.0
Pinhal Grande,2258.766666666667
Quevedos,671.2666666666667
Restinga Seca,0.0
Santa Margarida do Sul,5559.8
Santa Maria,6371.033333333334
Santana da Boa Vista,6514.633333333333
Santiago,2449.5666666666666
Sao Francisco de Assis,0.0
Sao Gabriel,0.0
Sao Joao do Polesine,0.0
Sao Martinho da Serra,0.0
Sao Pedro do Sul,0.0
Sao Sepe,0.0
Sao Vicente do Sul,0.0
Silveira Martins,630.6
Toropi,5816.566666666667
Unistalda,2431.9333333333334
Vila Nova do Sul,5746.666666666667
